_metric,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/batch,config/drop,config/epoch,config/linear,config/lr
1.726975918,0.03098917,FALSE,,,2000,1aca8_00089,fe364993bef04208906e42e0843e2115,2022-04-09_13-35-04,1649525704,70.17628217,14152,DESKTOP-IMPI4GQ,127.0.0.1,70.17628217,0,2000,2048,0.5,2000,100,0.002
1.726979017,0.029989243,FALSE,,,2000,1aca8_00026,0d7bf48d7c844e60b82a8d2edd996752,2022-04-09_13-13-18,1649524398,67.90335727,10952,DESKTOP-IMPI4GQ,127.0.0.1,67.90335727,0,2000,1024,0.4,2000,80,0.001
1.727455974,0.017994642,FALSE,,,2000,1aca8_00065,5c4e704a31d244378bbfb4fb180dc789,2022-04-09_13-26-17,1649525177,50.57273889,1948,DESKTOP-IMPI4GQ,127.0.0.1,50.57273889,0,2000,2048,0.5,2000,60,0.002
1.72832799,0.014997005,FALSE,,,2000,1aca8_00113,369dc7b028fd4363832738d9f0258ce6,2022-04-09_13-43-11,1649526191,53.28974819,7288,DESKTOP-IMPI4GQ,127.0.0.1,53.28974819,0,2000,2048,0.5,2000,60,0.005
1.728434801,0.020993471,FALSE,,,2000,1aca8_00077,f8c52d635f1f42138571071a7e8ab7f9,2022-04-09_13-30-15,1649525415,62.53975201,13796,DESKTOP-IMPI4GQ,127.0.0.1,62.53975201,0,2000,2048,0.5,2000,80,0.002
1.728983879,0.012995243,FALSE,,,2000,1aca8_00148,e5a6e7fdafe34468a4fbe180603106cd,2022-04-09_13-56-28,1649526988,45.5922401,972,DESKTOP-IMPI4GQ,127.0.0.1,45.5922401,0,2000,1024,0.5,2000,40,0.01
1.729346991,0.039987326,FALSE,,,2000,1aca8_00041,df1f292fe89c4377b849548a1027ee2e,2022-04-09_13-18-09,1649524689,69.49150085,8548,DESKTOP-IMPI4GQ,127.0.0.1,69.49150085,0,2000,2048,0.5,2000,100,0.001
1.730061054,0.020995617,FALSE,,,2000,1aca8_00149,cebab21de4c649079ed3b3d959a9ded1,2022-04-09_13-56-30,1649526990,43.09105158,8520,DESKTOP-IMPI4GQ,127.0.0.1,43.09105158,0,2000,2048,0.5,2000,40,0.01
1.730074167,0.020991087,FALSE,,,3000,1aca8_00032,5dffa280b0fb4b82b95b031e56313ec6,2022-04-09_13-15-29,1649524529,99.62837243,14620,DESKTOP-IMPI4GQ,127.0.0.1,99.62837243,0,3000,1024,0.4,3000,80,0.001
1.731007457,0.026990652,FALSE,,,2000,1aca8_00075,f1f0e1ea69644748961e301dd1ee8636,2022-04-09_13-30-09,1649525409,63.00559974,2280,DESKTOP-IMPI4GQ,127.0.0.1,63.00559974,0,2000,2048,0.4,2000,80,0.002
