"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-01-28","2011","01","28","","","M","","M","","M","","M","","M","","M","","M","0.8","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-01-29","2011","01","29","","","M","","M","","M","","M","","M","","M","","M","2.3","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-01-30","2011","01","30","","","M","","M","","M","","M","","M","","M","","M","0.5","","","","31","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-01-31","2011","01","31","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-01","2011","02","01","","","M","","M","","M","","M","","M","","M","","M","0.8","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-02","2011","02","02","","","M","","M","","M","","M","","M","","M","","M","10.5","","","","5","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-03","2011","02","03","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","24","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-04","2011","02","04","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","25","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-05","2011","02","05","","","M","","M","","M","","M","","M","","M","","M","7.1","","","","1","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-06","2011","02","06","","","M","","M","","M","","M","","M","","M","","M","1.9","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-07","2011","02","07","","","M","","M","","M","","M","","M","","M","","M","2.1","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-08","2011","02","08","","","M","","M","","M","","M","","M","","M","","M","2.8","","","","27","","50",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-09","2011","02","09","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","24","","46",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-10","2011","02","10","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","24","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-11","2011","02","11","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","26","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-12","2011","02","12","","","M","","M","","M","","M","","M","","M","","M","1.3","","","","31","","50",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-13","2011","02","13","","","M","","M","","M","","M","","M","","M","","M","8.3","","","","15","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-14","2011","02","14","","","M","","M","","M","","M","","M","","M","","M","5.5","","","","35","","56",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-15","2011","02","15","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","30","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-16","2011","02","16","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-17","2011","02","17","","","M","","M","","M","","M","","M","","M","","M","0.9","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-18","2011","02","18","","","M","","M","","M","","M","","M","","M","","M","5.3","","","","26","","70",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-19","2011","02","19","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","28","","59",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-20","2011","02","20","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","27","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-21","2011","02","21","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-22","2011","02","22","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-23","2011","02","23","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-24","2011","02","24","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-25","2011","02","25","","","M","","M","","M","","M","","M","","M","","M","1.7","","","","31","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-26","2011","02","26","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","29","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-27","2011","02","27","","","M","","M","","M","","M","","M","","M","","M","1.1","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-02-28","2011","02","28","","","M","","M","","M","","M","","M","","M","","M","11.0","","","","15","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-01","2011","03","01","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","34","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-02","2011","03","02","","","M","","M","","M","","M","","M","","M","","M","0.4","","","","26","","65",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-03","2011","03","03","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-04","2011","03","04","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-05","2011","03","05","","","M","","M","","M","","M","","M","","M","","M","25.9","","","","15","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-06","2011","03","06","","","M","","M","","M","","M","","M","","M","","M","18.2","","","","2","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-07","2011","03","07","","","M","","M","","M","","M","","M","","M","","M","7.7","","","","1","","50",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-08","2011","03","08","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-09","2011","03","09","","","M","","M","","M","","M","","M","","M","","M","3.7","","","","13","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-10","2011","03","10","","","M","","M","","M","","M","","M","","M","","M","33.0","","","","14","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-11","2011","03","11","","","M","","M","","M","","M","","M","","M","","M","7.2","","","","7","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-12","2011","03","12","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","26","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-13","2011","03","13","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-14","2011","03","14","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-15","2011","03","15","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-16","2011","03","16","","","M","","M","","M","","M","","M","","M","","M","3.6","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-17","2011","03","17","","","M","","M","","M","","M","","M","","M","","M","5.0","","","","26","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-18","2011","03","18","","","M","","M","","M","","M","","M","","M","","M","1.0","","","","27","","72",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-19","2011","03","19","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","2","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-20","2011","03","20","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-21","2011","03","21","","","M","","M","","M","","M","","M","","M","","M","7.3","","","","15","","46",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-22","2011","03","22","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","36","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-23","2011","03","23","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-24","2011","03","24","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-25","2011","03","25","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","27","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-26","2011","03","26","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","28","","52",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-27","2011","03","27","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","27","","52",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-28","2011","03","28","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","27","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-29","2011","03","29","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","27","","43",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-30","2011","03","30","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-03-31","2011","03","31","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-01","2011","04","01","","","M","","M","","M","","M","","M","","M","","M","0.4","","","","2","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-02","2011","04","02","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","28","","56",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-03","2011","04","03","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","32","","46",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-04","2011","04","04","","","M","","M","","M","","M","","M","","M","","M","9.0","","","","16","","52",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-05","2011","04","05","","","M","","M","","M","","M","","M","","M","","M","2.4","","","","29","","54",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-06","2011","04","06","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","28","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-07","2011","04","07","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-08","2011","04","08","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-09","2011","04","09","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-10","2011","04","10","","","M","","M","","M","","M","","M","","M","","M","7.2","","","","16","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-11","2011","04","11","","","M","","M","","M","","M","","M","","M","","M","8.3","","","","27","","61",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-12","2011","04","12","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","32","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-13","2011","04","13","","","M","","M","","M","","M","","M","","M","","M","6.1","","","","11","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-14","2011","04","14","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","34","","43",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-15","2011","04","15","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","2","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-16","2011","04","16","","","M","","M","","M","","M","","M","","M","","M","23.4","","","","15","","52",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-17","2011","04","17","","","M","","M","","M","","M","","M","","M","","M","14.3","","","","25","","72",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-18","2011","04","18","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","24","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-19","2011","04","19","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-20","2011","04","20","","","M","","M","","M","","M","","M","","M","","M","20.8","","","","2","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-21","2011","04","21","","","M","","M","","M","","M","","M","","M","","M","0.6","","","","28","","56",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-22","2011","04","22","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","14","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-23","2011","04","23","","","M","","M","","M","","M","","M","","M","","M","2.4","","","","16","","70",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-24","2011","04","24","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","26","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-25","2011","04","25","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-26","2011","04","26","","","M","","M","","M","","M","","M","","M","","M","10.3","","","","5","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-27","2011","04","27","","","M","","M","","M","","M","","M","","M","","M","8.2","","","","31","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-28","2011","04","28","","","M","","M","","M","","M","","M","","M","","M","6.3","","","","25","","74",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-29","2011","04","29","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","27","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-04-30","2011","04","30","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-01","2011","05","01","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-02","2011","05","02","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","16","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-03","2011","05","03","","","M","","M","","M","","M","","M","","M","","M","22.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-04","2011","05","04","","","M","","M","","M","","M","","M","","M","","M","5.9","","","","1","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-05","2011","05","05","","","M","","M","","M","","M","","M","","M","","M","8.0","","","","34","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-06","2011","05","06","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","26","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-07","2011","05","07","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","28","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-08","2011","05","08","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","4","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-09","2011","05","09","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","3","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-10","2011","05","10","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","1","","43",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-11","2011","05","11","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","2","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-12","2011","05","12","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","7","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-13","2011","05","13","","","M","","M","","M","","M","","M","","M","","M","0.5","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-14","2011","05","14","","","M","","M","","M","","M","","M","","M","","M","25.4","","","","2","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-15","2011","05","15","","","M","","M","","M","","M","","M","","M","","M","11.8","","","","6","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-16","2011","05","16","","","M","","M","","M","","M","","M","","M","","M","13.5","","","","4","","52",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-17","2011","05","17","","","M","","M","","M","","M","","M","","M","","M","0.4","","","","4","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-18","2011","05","18","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","3","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-19","2011","05","19","","","M","","M","","M","","M","","M","","M","","M","0.7","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-20","2011","05","20","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-21","2011","05","21","","","M","","M","","M","","M","","M","","M","","M","1.4","","","","29","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2011-05-22","2011","05","22","","","M","","M","","M","","M","","M","","M","","M","5.1","","","","15","","33",""
