"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-13","2010","04","13","","13.2","","1.5","","7.4","","10.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-14","2010","04","14","","18.1","","1.7","","9.9","","8.1","","0.0","","","M","","M","0.0","","","","30","","56",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-15","2010","04","15","","11.7","","3.5","","7.6","","10.4","","0.0","","","M","","M","2.7","","","","12","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-16","2010","04","16","","7.3","","4.1","","5.7","","12.3","","0.0","","","M","","M","20.1","","","","14","","54",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-17","2010","04","17","","9.2","","2.4","","5.8","","12.2","","0.0","","","M","","M","2.0","","","","26","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-18","2010","04","18","","9.5","","1.4","","5.5","","12.5","","0.0","","","M","","M","3.3","","","","30","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-19","2010","04","19","","15.6","","1.9","","8.8","","9.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-20","2010","04","20","","19.9","","6.3","","13.1","","4.9","","0.0","","","M","","M","0.0","","","","34","","57",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-21","2010","04","21","","18.2","","7.5","","12.9","","5.1","","0.0","","","M","","M","0.0","","","","2","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-22","2010","04","22","","12.6","","5.9","","9.3","","8.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-23","2010","04","23","","15.7","","1.3","","8.5","","9.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-24","2010","04","24","","19.1","","4.0","","11.6","","6.4","","0.0","","","M","","M","0.0","","","","5","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-04-25","2010","04","25","","16.6","","5.1","","10.9","","7.1","","0.0","","","M","","M","0.0","","","","5","","32",""
